"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"46","HOU","HOU",2020,"322","14.3","0.167","0.000","0.250","0.167","0.192","0.164","0.125","2","12","75.9","4.8","2954","79.5","79.50","6","21","25","0.0","5.96","114","157","117","151","313","334","312"
"49","CIN","CIN",2021,"654","7.5","0.200","0.100","0.333","0.300","0.234","0.186","0.142","2","10","79.2","-6.4","2913","81.1","80.91","6","23","26","-0.2","5.92","107","147","114","144","305","331","284"
"43","HOU","HOU",2018,"293","14.7","0.077","0.077","0.125","0.154","0.177","0.216","0.143","1","13","82.0","-4.9","2911","81.0","80.42","9","24","19","-0.6","5.69","119","150","108","152","294","331","309"
"86","CIN","CIN",2019,"438","19.6","0.200","0.300","0.200","0.500","0.297","0.402","0.319","4","20","87.7","12.0","2858","80.5","80.56","6","34","52","0.1","5.93","115","150","114","148","310","338","310"
"43","ATL","ATL",2019,"405","10.6","0.111","0.000","0.200","0.111","0.097","0.017","0.015","1","9","82.4","28.5","2832","75.9","75.40","5","19","24","-0.5","5.77","101","148","106","147","312","335","304"
"170","LAD","LAD",2021,"1391","12.2","0.342","0.316","0.385","0.658","0.439","0.316","0.224","13","38","88.4","16.2","2825","80.7","80.62","21","75","95","-0.1","5.99","109","153","110","148","309","332","301"
"23","CIN","CIN",2022,"497","4.6","0.333","0.000","0.333","0.333","0.295","0.252","0.245","2","6","86.3","28.5","2774","80.4","80.01","2","12","11","-0.4","5.75","118","167","116","151","304","333","290"
"129","LAD","LAD",2019,"1481","8.7","0.321","0.357","0.471","0.679","0.413","0.292","0.242","9","28","87.0","13.8","2773","79.4","78.65","21","47","82","-0.8","5.43","113","157","112","146","306","332","305"
"29","HOU","HOU",2019,"330","8.8","0.333","0.000","0.500","0.333","0.290","0.183","0.183","2","6","91.3","24.0","2765","79.5","78.81","3","11","18","-0.7","5.44","111","152","113","150","306","340","321"
"12","CIN","CIN",2018,"394","3.0","0.000","0.000",,"0.000","0.000","0.000",,"0","1",,,"2745","80.2","78.99","2","3","9","-1.2","5.23","112","152","106","146","322","326","308"
"67","LAD","LAD",2020,"493","13.6","0.118","0.059","0.154","0.176","0.125","0.120","0.123","2","17","77.5","22.5","2722","80.5","80.37","11","36","31","-0.1","5.90","114","164","117","150","304","335","305"
"31","TOR","TOR",2019,"387","8.0","0.167","0.083","0.200","0.250","0.174","0.341","0.284","2","12","92.2","24.2","2709","77.8","77.25","4","18","13","-0.6","5.64","115","152","118","151","321","341","317"
"154","LAD","LAD",2022,"1376","11.2","0.314","0.143","0.435","0.457","0.334","0.271","0.240","11","35","86.3","11.6","2697","79.9","79.89","22","70","84","0.0","5.94","110","157","121","149","313","329","298"
"140","LAD","LAD",2018,"1466","9.5","0.194","0.065","0.250","0.258","0.210","0.228","0.198","6","31","87.1","8.0","2696","77.7","77.17","20","67","73","-0.5","5.75","109","150","113","147","310","340","311"
"55","MIA","MIA",2019,"449","12.2","0.400","0.300","0.600","0.700","0.476","0.300","0.281","4","10","93.6","9.5","2681","78.5","77.88","7","26","29","-0.6","5.43","112","159","122","149","318","347","302"
"23","MIA","MIA",2022,"501","4.6","0.250","0.000","0.500","0.250","0.221","0.135","0.132","1","4","79.6","51.0","2675","84.3","84.66","4","7","16","0.4","6.26","98","151","124","148","308","333","303"
