"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"85","LAD","LAD",2020,"824","10.3","0.385","0.538","0.600","0.923","0.549","0.518","0.319","5","13","97.9","15.4","2844","81.3","80.92","8","25","60","-0.4","6.19","113","161","116","149","293","322","295"
"199","LAD","LAD",2021,"1398","14.2","0.205","0.256","0.227","0.462","0.290","0.300","0.204","8","39","82.8","10.2","2823","80.9","80.07","27","81","118","-0.8","6.12","113","156","116","151","295","319","293"
"200","LAD","LAD",2019,"1295","15.4","0.300","0.120","0.483","0.420","0.320","0.292","0.235","15","50","89.9","7.2","2803","78.1","76.69","27","79","121","-1.4","5.61","111","155","115","146","295","316","295"
"56","HOU","HOU",2021,"423","13.2","0.273","0.091","0.333","0.364","0.365","0.334","0.228","3","11","93.1","7.8","2786","78.2","77.40","4","20","36","-0.8","5.98","115","154","118","150","287","315","290"
"6","CIN","CIN",2018,"439","1.4","0.500","0.000","0.500","0.500","0.440","0.593","0.564","1","2","101.4","15.0","2782","80.5","78.87","0","2","4","-1.6","5.40","109","150","108","145","298","306","289"
"43","CHC","CHC",2021,"465","9.2","0.125","0.000","0.250","0.125","0.211","0.359","0.212","1","8","95.8","0.0","2707","82.6","81.62","5","12","31","-1.0","5.97","115","159","116","157","296","320","303"
"93","WSH","WSH",2018,"404","23.0","0.115","0.038","0.200","0.154","0.158","0.189","0.147","3","26","82.0","-13.7","2695","78.5","77.02","22","40","53","-1.5","5.59","113","153","114","149","294","308","296"
"49","LAD","LAD",2022,"425","11.5","0.000","0.000","0.000","0.000","0.057","0.154","0.112","0","11","75.0","22.0","2692","79.3","78.44","6","20","29","-0.9","5.99","107","152","120","149","296","316","293"
"25","ATL","ATL",2019,"450","5.6","0.500","0.000","1.000","0.500","0.486","0.421","0.378","2","4","97.5","12.0","2691","77.2","76.02","5","9","16","-1.2","5.65","104","146","115","150","301","329","299"
"19","PIT","PIT",2018,"441","4.3","0.200","0.200","0.333","0.400","0.323","0.337","0.281","1","5","91.7","-1.0","2689","82.0","80.69","4","9","10","-1.3","5.69","104","153","112","148","301","323","307"
"96","PHI","PHI",2019,"461","20.8","0.190","0.048","0.308","0.238","0.247","0.232","0.176","4","21","84.1","6.9","2688","78.2","77.03","13","37","59","-1.2","5.69","110","151","120","147","306","325","305"
"42","CHC","CHC",2022,"412","10.2","0.083","0.250","0.000","0.333","0.214","0.255","0.174","1","12","89.7","13.0","2687","78.6","77.30","5","18","24","-1.3","6.05","111","155","114","154","302","325","295"
"41","PIT","PIT",2021,"388","10.6","0.200","0.200","0.250","0.400","0.248","0.246","0.246","1","5","98.2","-1.8","2672","78.8","78.23","4","13","28","-0.6","6.20","110","153","120","149","298","327","306"
"88","ATL","ATL",2022,"605","14.5","0.368","0.421","0.455","0.789","0.520","0.469","0.362","7","19","91.2","7.9","2642","81.3","80.93","19","44","44","-0.4","6.36","110","150","118","147","299","337","304"
"22","NYM","NYM",2019,"405","5.4","0.333","0.000","0.333","0.333","0.290","0.174","0.186","2","6","79.8","-5.7","2636","78.7","77.76","0","7","15","-0.9","5.98","119","151","113","148","302","320","293"
"35","MIA","MIA",2019,"446","7.8","0.500","0.750","0.500","1.250","0.702","0.274","0.187","2","4","96.4","22.7","2617","82.5","81.08","7","13","22","-1.4","5.37","104","152","117","149","311","337","302"
"68","MIN","MIN",2022,"433","15.7","0.167","0.000","0.286","0.167","0.227","0.284","0.226","2","12","85.2","-13.6","2612","80.8","80.47","9","28","40","-0.3","6.41","113","162","119","153","291","326","305"
"51","PIT","PIT",2019,"571","8.9","0.133","0.000","0.400","0.133","0.116","0.084","0.087","2","15","89.0","-6.8","2612","80.6","79.82","9","19","32","-0.8","5.93","109","151","118","147","300","325","299"
"46","NYM","NYM",2018,"460","10.0","0.077","0.000","0.167","0.077","0.151","0.258","0.160","1","13","90.9","30.8","2609","74.8","73.32","9","19","27","-1.5","5.52","113","147","112","147","285","318","298"
"91","HOU","HOU",2020,"420","21.7","0.273","0.182","0.313","0.455","0.382","0.394","0.269","6","22","88.3","5.3","2606","79.5","78.79","11","37","54","-0.7","5.97","116","150","120","150","295","322","301"
"26","CIN","CIN",2022,"394","6.6","0.250","0.000","0.500","0.250","0.315","0.283","0.199","2","8","79.7","11.5","2597","80.8","80.63","3","10","16","-0.2","6.40","113","150","121","149","291","312","299"
"74","WSH","WSH",2019,"563","13.1","0.063","0.000","0.091","0.063","0.054","0.147","0.153","1","16","77.4","-2.5","2592","79.0","78.27","11","30","44","-0.7","5.96","114","150","111","149","305","320","299"
