"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"65","PIT","PIT",2021,"388","16.8","0.077","0.000","0.167","0.077","0.151","0.181","0.103","1","13","78.7","-15.2","2763","85.3","84.74","12","27","38","-0.6","6.00","105","150","121","149","294","323","305"
"66","TB","TB",2019,"461","14.3","0.125","0.000","0.250","0.125","0.109","0.225","0.246","2","16","84.5","17.9","2746","84.8","83.52","15","34","32","-1.3","5.48","106","155","115","148","300","325","296"
"95","ATL","ATL",2019,"450","21.1","0.217","0.261","0.300","0.478","0.329","0.371","0.248","5","23","92.6","13.9","2620","84.0","83.14","19","48","47","-0.9","5.64","108","148","114","149","301","331","299"
"83","PIT","PIT",2022,"470","17.7","0.308","0.231","0.300","0.538","0.424","0.350","0.234","4","13","81.0","9.5","2611","86.3","85.94","11","36","47","-0.4","6.06","110","151","117","150","299","328","300"
"915","SD","SD",2020,"4603","19.9","0.132","0.084","0.239","0.216","0.204","0.227","0.150","25","190","87.3","14.8","2604","86.4","86.02","178","413","502","-0.4","6.14","115","150","132","147","300","331","312"
"73","MIL","MIL",2021,"443","16.5","0.176","0.059","0.250","0.235","0.254","0.238","0.163","3","17","87.3","-4.1","2599","86.3","86.13","11","26","47","-0.2","6.30","109","151","119","150","303","330","297"
"278","LAD","LAD",2021,"1398","19.9","0.149","0.090","0.235","0.239","0.201","0.203","0.133","10","67","85.1","6.4","2586","85.7","85.44","58","144","134","-0.3","6.30","112","155","113","148","300","319","287"
"2198","SD","SD",2021,"12438","17.7","0.177","0.130","0.259","0.307","0.241","0.263","0.193","95","538","86.8","15.1","2568","85.2","84.82","416","1103","1095","-0.4","6.08","115","154","130","146","297","322","311"
"139","LAD","LAD",2020,"824","16.9","0.200","0.150","0.280","0.350","0.275","0.250","0.180","8","40","86.3","4.0","2563","87.2","87.03","28","77","62","-0.2","6.15","112","157","116","148","297","322","291"
"74","CIN","CIN",2022,"394","18.8","0.167","0.111","0.200","0.278","0.219","0.220","0.164","3","18","87.4","26.9","2542","83.5","83.18","10","30","44","-0.3","6.30","114","151","120","147","294","319","300"
"71","HOU","HOU",2021,"423","16.8","0.231","0.077","0.429","0.308","0.292","0.166","0.091","3","13","64.1","29.8","2540","84.4","84.20","12","32","39","-0.2","6.20","109","153","116","148","293","324","292"
"101","NYM","NYM",2021,"528","19.1","0.087","0.000","0.200","0.087","0.102","0.121","0.102","2","23","79.1","-5.6","2534","87.9","88.38","20","48","53","0.5","6.44","117","148","112","151","298","328","300"
"103","PIT","PIT",2018,"441","23.4","0.273","0.152","0.444","0.424","0.309","0.251","0.219","9","33","90.7","12.5","2519","84.8","84.21","20","52","51","-0.6","5.95","105","152","112","148","298","320","304"
"183","SF","SF",2018,"1339","13.7","0.220","0.244","0.318","0.463","0.344","0.244","0.143","9","41","87.6","15.2","2509","82.5","81.43","36","83","100","-1.1","5.71","109","149","114","147","296","318","296"
"83","PIT","PIT",2019,"571","14.5","0.105","0.158","0.111","0.263","0.148","0.153","0.125","2","19","79.3","12.1","2509","84.0","83.25","16","45","38","-0.8","5.91","109","151","117","146","304","325","296"
